no,game_id,type,released,rtp,base_rtp,free_rtp,hit_rate,free_trigger,bonus_trigger,variance,volatility,size,line,feature1,feature2,feature3,feature4,theme1,theme2,theme3,theme4
311,Fluffy Puppy Jackpot,t8g,,97.39%,70.96%,26.43%,16.72%,0.78%,0.00%,56.914,14.7865,,,,,,,,,,
310,Thor Storm,duc,,,,,,1.26%,,63.8783,15.6651,,,,,,,,,,
309,Fortune Link Feline Fortune,seq,,,,,,0.92%,1.84%,56.7485,14.765,,,,,,,,,,
308,Leprechaun's Journey,t8g,,97.87%,42.96%,36.20%,34.82%,0.66%,1.03%,39.661,12.3435,,,,,,,,,,
307,Jungle Riches,seq,,95.81%,34.19%,61.62%,28.72%,1.75%,1.44%,45.3966,13.2059,,,,,,,,,,
306,Cock-a-doodle Bingo,duc,,,57.47%,38.59%,30.27%,1.39%,,27.0329,10.1907,,,,,,,,,,
305,Special Bid,t8g,,96.88%,40.75%,56.13%,28.16%,1.91%,0.00%,67.0807,16.0529,,,,,,,,,,
304,Italian Journey,seq,,,,,,0.30%,0.30%,94.8291,19.0865,,,,,,,,,,
303,Joyful Mermaid,t8g,,,65.94%,31.61%,29.22%,1.27%,,42.4664,12.7726,,,,,,,,,,
302,Werewolf_windfall,duc,,97.40%,61.47%,35.93%,19.39%,0.94%,0.00%,40.9639,12.5446,,,,,,,,,,
301,King Cash,seq,,92.84%,47.34%,0.00%,10.15%,1.81%,1.81%,31.0139,10.9153,,,,,,,,,,
300,Wild Honey Jackpot,t8g,,96.28%,61.08%,35.20%,22.56%,1.01%,0.00%,28.3812,10.4417,,,,,,,,,,
299,Gold And Dragon II,seq,,95.67%,48.81%,30.31%,33.03%,0.69%,0.55%,45.747,13.2568,,,,,,,,,,
298,WildWild Lite,duc,,95.71%,66.94%,28.77%,38.67%,0.92%,0.00%,40.5538,12.4816,,,,,,,,,,
297,Blackbeard's Hidden Treasure,duc,,96.68%,50.72%,23.83%,36.70%,1.66%,0.44%,41.3163,12.5984,,,,,,,,,,
296,Fairy Hollow,seq,,95.72%,58.51%,37.21%,41.78%,0.95%,0.00%,33.405,11.3282,,,,,,,,,,
295,Winter Wonder-Train,t8g,,,,,,2.49%,,43.6066,12.9429,,,,,,,,,,
294,Arrow of Hearts,t8g,,97.32%,62.13%,35.19%,31.84%,1.31%,0.00%,35.2056,11.6295,,,,,,,,,,
293,Panda Jackpot Tao,t8g,,,,,,1.19%,,76.8236,17.1792,,,,,,,,,,
292,Lucky Cookies,t8g,,95.87%,44.15%,34.21%,29.77%,1.04%,0.87%,26.9623,10.1773,,,,,,,,,,
291,Lunar Sunsation,t8g,,93.79%,48.02%,45.77%,35.18%,1.23%,0.00%,30.2942,10.7879,,,,,,,,,,
290,Horns of Africa,t8g,,97.55%,55.22%,26.50%,31.07%,0.64%,0.32%,115.8823,21.0991,,,,,,,,,,
289,Kong Smash Stacks,duc,,97.34%,53.92%,43.43%,37.53%,2.24%,0.00%,18.518,8.4344,,,,,,,,,,
288,Triple Fortune Dragon,seq,,95.16%,57.51%,37.65%,32.03%,1.22%,0.00%,44.349,13.0526,,,,,,,,,,
287,Eagle Wilds,duc,,,,,,1.06%,0.89%,39.6673,12.3445,,,,,,,,,,
286,Devil's Bank,duc,,97.44%,42.30%,44.97%,30.54%,1.34%,0.61%,36.4964,11.8408,,,,,,,,,,
285,Viking Coins,duc,,97.11%,65.30%,31.81%,38.72%,1.56%,0.00%,21.2539,9.036,,,,,,,,,,
284,Burning Chili,duc,,,52.79%,43.71%,40.38%,2.19%,1.14%,48.3182,13.6242,,,,,,,,,,
283,The Legend of Z : Gold Roses,duc,,146.78%,49.45%,2.31%,38.49%,2.83%,2.37%,106.6236,20.2387,,,,,,,,,,
282,Twin Strike,seq,,95.84%,62.52%,33.32%,25.22%,0.80%,0.00%,28.5706,10.4765,,,,,,,,,,
281,Double Dish: Dice Bonanza,t8g,,95.60%,50.66%,44.94%,33.69%,1.44%,0.00%,59.6148,15.1333,,,,,,,,,,
